Starting Time Sat Dec 05 19:32:05 EST 2015
Frame 0 -> Center of Mass : 20.227684
Frame 1 -> Center of Mass : 20.201878
Frame 2 -> Center of Mass : 20.161301
Frame 3 -> Center of Mass : 20.107481
Frame 4 -> Center of Mass : 20.064362
Frame 5 -> Center of Mass : 20.043131
Frame 6 -> Center of Mass : 20.016930
Frame 7 -> Center of Mass : 20.009470
Frame 8 -> Center of Mass : 20.008018
Frame 9 -> Center of Mass : 20.022779
Frame 10 -> Center of Mass : 20.016001
Frame 11 -> Center of Mass : 20.039364
Frame 12 -> Center of Mass : 20.045483
Frame 13 -> Center of Mass : 20.044271
Frame 14 -> Center of Mass : 20.049065
Frame 15 -> Center of Mass : 20.037264
Frame 16 -> Center of Mass : 20.040588
Frame 17 -> Center of Mass : 20.018278
Frame 18 -> Center of Mass : 20.022320
Frame 19 -> Center of Mass : 19.999176
Frame 20 -> Center of Mass : 19.998291
Frame 21 -> Center of Mass : 20.015841
Frame 22 -> Center of Mass : 20.011997
Frame 23 -> Center of Mass : 19.993801
Frame 24 -> Center of Mass : 19.994141
Frame 25 -> Center of Mass : 19.984468
Frame 26 -> Center of Mass : 19.984608
Frame 27 -> Center of Mass : 20.012218
Frame 28 -> Center of Mass : 20.006187
Frame 29 -> Center of Mass : 20.001833
Frame 30 -> Center of Mass : 19.996851
Frame 31 -> Center of Mass : 19.992552
Frame 32 -> Center of Mass : 19.984098
Frame 33 -> Center of Mass : 19.980509
Frame 34 -> Center of Mass : 19.990326
Frame 35 -> Center of Mass : 19.972105
Frame 36 -> Center of Mass : 19.983597
Frame 37 -> Center of Mass : 19.980957
Frame 38 -> Center of Mass : 19.995848
Frame 39 -> Center of Mass : 19.974735
Frame 40 -> Center of Mass : 19.956024
Frame 41 -> Center of Mass : 19.958845
Frame 42 -> Center of Mass : 19.964649
Frame 43 -> Center of Mass : 19.964813
Frame 44 -> Center of Mass : 19.969984
Frame 45 -> Center of Mass : 19.970415
Frame 46 -> Center of Mass : 19.971918
Frame 47 -> Center of Mass : 19.962589
Frame 48 -> Center of Mass : 19.978857
Frame 49 -> Center of Mass : 19.975552
Frame 50 -> Center of Mass : 19.983063
Frame 51 -> Center of Mass : 19.986294
Frame 52 -> Center of Mass : 19.976192
Frame 53 -> Center of Mass : 19.977367
Frame 54 -> Center of Mass : 19.960423
Frame 55 -> Center of Mass : 19.962526
Frame 56 -> Center of Mass : 19.971022
Frame 57 -> Center of Mass : 19.970366
Frame 58 -> Center of Mass : 19.975653
Frame 59 -> Center of Mass : 19.982241
Frame 60 -> Center of Mass : 19.978756
Frame 61 -> Center of Mass : 19.979713
Frame 62 -> Center of Mass : 19.969486
Frame 63 -> Center of Mass : 19.988483
Frame 64 -> Center of Mass : 19.979692
Frame 65 -> Center of Mass : 19.971783
Frame 66 -> Center of Mass : 19.952728
Frame 67 -> Center of Mass : 19.941233
Frame 68 -> Center of Mass : 19.943562
Frame 69 -> Center of Mass : 19.946058
Frame 70 -> Center of Mass : 19.963923
Frame 71 -> Center of Mass : 19.955263
Frame 72 -> Center of Mass : 19.968281
Frame 73 -> Center of Mass : 19.980019
Frame 74 -> Center of Mass : 19.973614
Frame 75 -> Center of Mass : 19.971012
Frame 76 -> Center of Mass : 19.960051
Frame 77 -> Center of Mass : 19.954380
Frame 78 -> Center of Mass : 19.973688
Frame 79 -> Center of Mass : 19.952848
Frame 80 -> Center of Mass : 19.970201
Frame 81 -> Center of Mass : 19.940302
Frame 82 -> Center of Mass : 19.946159
Frame 83 -> Center of Mass : 19.957230
Frame 84 -> Center of Mass : 19.944866
Frame 85 -> Center of Mass : 19.962551
Frame 86 -> Center of Mass : 19.966743
Frame 87 -> Center of Mass : 19.942307
Frame 88 -> Center of Mass : 19.948166
Frame 89 -> Center of Mass : 19.954374
Frame 90 -> Center of Mass : 19.934717
Frame 91 -> Center of Mass : 19.946220
Frame 92 -> Center of Mass : 19.938782
Frame 93 -> Center of Mass : 19.941914
Frame 94 -> Center of Mass : 19.956486
Frame 95 -> Center of Mass : 19.957870
Frame 96 -> Center of Mass : 19.966749
Frame 97 -> Center of Mass : 19.956360
Frame 98 -> Center of Mass : 19.960960
Frame 99 -> Center of Mass : 19.951992
Frame 100 -> Center of Mass : 19.962122
Ending Time Sat Dec 05 19:32:07 EST 2015
