Starting Time Sat Dec 05 14:32:07 EST 2015
Frame 0 -> Moment of Inertia : 52951118.879528
Frame 1 -> Moment of Inertia : 52883565.567591
Frame 2 -> Moment of Inertia : 52777343.130193
Frame 3 -> Moment of Inertia : 52636461.466502
Frame 4 -> Moment of Inertia : 52523582.716053
Frame 5 -> Moment of Inertia : 52468008.380997
Frame 6 -> Moment of Inertia : 52399420.228187
Frame 7 -> Moment of Inertia : 52379886.683617
Frame 8 -> Moment of Inertia : 52376091.908597
Frame 9 -> Moment of Inertia : 52414733.563967
Frame 10 -> Moment of Inertia : 52396982.412910
Frame 11 -> Moment of Inertia : 52458144.328263
Frame 12 -> Moment of Inertia : 52474161.155478
Frame 13 -> Moment of Inertia : 52470992.291862
Frame 14 -> Moment of Inertia : 52483538.166411
Frame 15 -> Moment of Inertia : 52452648.819813
Frame 16 -> Moment of Inertia : 52461349.483339
Frame 17 -> Moment of Inertia : 52402949.638940
Frame 18 -> Moment of Inertia : 52413528.491412
Frame 19 -> Moment of Inertia : 52352945.938602
Frame 20 -> Moment of Inertia : 52350624.653683
Frame 21 -> Moment of Inertia : 52396566.063842
Frame 22 -> Moment of Inertia : 52386502.499014
Frame 23 -> Moment of Inertia : 52338872.167267
Frame 24 -> Moment of Inertia : 52339760.596933
Frame 25 -> Moment of Inertia : 52314438.048316
Frame 26 -> Moment of Inertia : 52314808.740039
Frame 27 -> Moment of Inertia : 52387083.074542
Frame 28 -> Moment of Inertia : 52371295.281769
Frame 29 -> Moment of Inertia : 52359898.868366
Frame 30 -> Moment of Inertia : 52346856.924355
Frame 31 -> Moment of Inertia : 52335598.917186
Frame 32 -> Moment of Inertia : 52313470.226240
Frame 33 -> Moment of Inertia : 52304074.027242
Frame 34 -> Moment of Inertia : 52329775.714553
Frame 35 -> Moment of Inertia : 52282074.391422
Frame 36 -> Moment of Inertia : 52312158.116696
Frame 37 -> Moment of Inertia : 52305246.926226
Frame 38 -> Moment of Inertia : 52344233.669640
Frame 39 -> Moment of Inertia : 52288964.739283
Frame 40 -> Moment of Inertia : 52239979.909255
Frame 41 -> Moment of Inertia : 52247367.211397
Frame 42 -> Moment of Inertia : 52262558.281282
Frame 43 -> Moment of Inertia : 52262993.940585
Frame 44 -> Moment of Inertia : 52276525.222709
Frame 45 -> Moment of Inertia : 52277653.862716
Frame 46 -> Moment of Inertia : 52281586.879015
Frame 47 -> Moment of Inertia : 52257167.651382
Frame 48 -> Moment of Inertia : 52299751.343944
Frame 49 -> Moment of Inertia : 52291098.321280
Frame 50 -> Moment of Inertia : 52310765.170356
Frame 51 -> Moment of Inertia : 52319219.364202
Frame 52 -> Moment of Inertia : 52292776.224312
Frame 53 -> Moment of Inertia : 52295850.120023
Frame 54 -> Moment of Inertia : 52251496.044213
Frame 55 -> Moment of Inertia : 52257003.865442
Frame 56 -> Moment of Inertia : 52279239.090277
Frame 57 -> Moment of Inertia : 52277522.261708
Frame 58 -> Moment of Inertia : 52291364.167906
Frame 59 -> Moment of Inertia : 52308609.441383
Frame 60 -> Moment of Inertia : 52299489.941039
Frame 61 -> Moment of Inertia : 52301995.682028
Frame 62 -> Moment of Inertia : 52275218.285664
Frame 63 -> Moment of Inertia : 52324951.769260
Frame 64 -> Moment of Inertia : 52301939.937950
Frame 65 -> Moment of Inertia : 52281234.097775
Frame 66 -> Moment of Inertia : 52231352.082593
Frame 67 -> Moment of Inertia : 52201262.701040
Frame 68 -> Moment of Inertia : 52207358.204637
Frame 69 -> Moment of Inertia : 52213891.835332
Frame 70 -> Moment of Inertia : 52260660.531998
Frame 71 -> Moment of Inertia : 52237986.392025
Frame 72 -> Moment of Inertia : 52272068.758134
Frame 73 -> Moment of Inertia : 52302795.027611
Frame 74 -> Moment of Inertia : 52286027.685390
Frame 75 -> Moment of Inertia : 52279214.127145
Frame 76 -> Moment of Inertia : 52250522.661512
Frame 77 -> Moment of Inertia : 52235678.808012
Frame 78 -> Moment of Inertia : 52286223.367654
Frame 79 -> Moment of Inertia : 52231669.462818
Frame 80 -> Moment of Inertia : 52277094.835850
Frame 81 -> Moment of Inertia : 52198823.421820
Frame 82 -> Moment of Inertia : 52214155.501619
Frame 83 -> Moment of Inertia : 52243139.267722
Frame 84 -> Moment of Inertia : 52210770.997743
Frame 85 -> Moment of Inertia : 52257066.254632
Frame 86 -> Moment of Inertia : 52268042.359451
Frame 87 -> Moment of Inertia : 52204073.270572
Frame 88 -> Moment of Inertia : 52219412.620258
Frame 89 -> Moment of Inertia : 52235662.939110
Frame 90 -> Moment of Inertia : 52184206.551078
Frame 91 -> Moment of Inertia : 52214317.200165
Frame 92 -> Moment of Inertia : 52194848.362708
Frame 93 -> Moment of Inertia : 52203042.669295
Frame 94 -> Moment of Inertia : 52241189.626932
Frame 95 -> Moment of Inertia : 52244814.065563
Frame 96 -> Moment of Inertia : 52268056.749505
Frame 97 -> Moment of Inertia : 52240858.392147
Frame 98 -> Moment of Inertia : 52252903.196008
Frame 99 -> Moment of Inertia : 52229426.637891
Frame 100 -> Moment of Inertia : 52255945.809688
Ending Time Sat Dec 05 14:34:01 EST 2015
